date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,people_fully_vaccinated_per_hundred_2
2020-12-27,249.135,6.228,0.0,18.0,0.0
2020-12-28,243.73,6.23,0.0,30.0,0.0
2020-12-29,242.489,6.395,0.0,59.0,0.0
2020-12-30,255.759,6.55,0.0,105.0,0.0
2020-12-31,258.758,6.662,0.0,139.0,0.0
2021-01-01,263.481,6.769,0.0,153.0,0.0
2021-01-02,265.048,6.789,0.0,185.0,0.0
2021-01-03,270.249,6.779,0.0,194.0,0.01
2021-01-04,276.366,6.801,0.0,270.0,0.02
2021-01-05,285.443,6.765,0.0,340.0,0.03
2021-01-06,274.445,6.539,0.0,374.0,0.06
2021-01-07,293.979,6.672,0.0,463.0,0.09
2021-01-08,311.057,7.23,0.0,568.0,0.11
2021-01-09,333.567,7.521,0.0,598.0,0.13
2021-01-10,338.055,7.577,0.0,641.0,0.15
2021-01-11,346.219,7.571,0.0,694.0,0.2
2021-01-12,339.893,7.51,0.0,743.0,0.26
2021-01-13,343.748,7.674,0.0,853.0,0.31
2021-01-14,324.941,7.761,0.0,898.0,0.38
2021-01-15,319.257,7.598,0.0,945.0,0.45
2021-01-16,310.238,7.649,0.0,951.0,0.5
2021-01-17,307.204,7.655,0.01,972.0,0.57
2021-01-18,309.961,7.47,0.02,1027.0,0.64
2021-01-19,304.294,7.63,0.03,1060.0,0.73
2021-01-20,304.333,7.698,0.06,1068.0,0.84
2021-01-21,299.287,7.662,0.09,1102.0,0.96
2021-01-22,301.266,7.793,0.11,1110.0,1.05
2021-01-23,300.488,7.646,0.13,1131.0,1.1
2021-01-24,299.582,7.651,0.15,1181.0,1.16
2021-01-25,301.181,7.909,0.2,1144.0,1.22
2021-01-26,299.466,7.598,0.26,1163.0,1.31
2021-01-27,294.741,7.455,0.31,1165.0,1.39
2021-01-28,294.29,7.619,0.38,1183.0,1.5
2021-01-29,290.147,7.527,0.45,1202.0,1.59
2021-01-30,289.732,7.686,0.5,1228.0,1.63
2021-01-31,285.815,7.54,0.57,1298.0,1.7
2021-02-01,280.389,7.578,0.64,1314.0,1.76
2021-02-02,275.975,7.72,0.73,1333.0,1.83
2021-02-03,268.729,7.693,0.84,1381.0,1.92
2021-02-04,255.523,7.362,0.96,1428.0,2.01
2021-02-05,257.282,7.506,1.05,1451.0,2.08
2021-02-06,251.486,7.242,1.1,1446.0,2.11
2021-02-07,251.79,7.239,1.16,1431.0,2.17
2021-02-08,239.188,7.106,1.22,1405.0,2.22
2021-02-09,231.233,6.996,1.31,1414.0,2.27
2021-02-10,224.269,6.864,1.39,1378.0,2.34
2021-02-11,225.739,6.854,1.5,1429.0,2.4
2021-02-12,211.861,6.572,1.59,1452.0,2.48
2021-02-13,210.702,6.514,1.63,1470.0,2.5
2021-02-14,208.213,6.442,1.7,1491.0,2.56
2021-02-15,202.824,6.189,1.76,1529.0,2.6
2021-02-16,201.93,5.873,1.83,1524.0,2.65
2021-02-17,199.827,5.805,1.92,1593.0,2.73
2021-02-18,200.119,5.617,2.01,1614.0,2.81
2021-02-19,203.375,5.51,2.08,1647.0,2.87
2021-02-20,206.736,5.413,2.11,1677.0,2.92
2021-02-21,212.209,5.362,2.17,1728.0,2.97
2021-02-22,212.056,5.345,2.22,1762.0,3.03
2021-02-23,215.829,5.26,2.27,1786.0,3.09
2021-02-24,223.342,5.077,2.34,1872.0,3.16
2021-02-25,228.439,4.903,2.4,1857.0,3.27
2021-02-26,232.649,4.879,2.48,1968.0,3.35
2021-02-27,238.415,4.911,2.5,2013.0,3.39
2021-02-28,241.891,4.927,2.56,2092.0,3.44
2021-03-01,242.963,4.921,2.6,2142.0,3.52
2021-03-02,220.946,4.819,2.65,2214.0,3.59
2021-03-03,222.894,4.861,2.73,2272.0,3.68
2021-03-04,224.984,4.921,2.81,2455.0,3.79
2021-03-05,227.721,4.907,2.87,2467.0,3.88
2021-03-06,230.732,4.892,2.92,2603.0,3.93
2021-03-07,234.049,4.901,2.97,2662.0,4.0
2021-03-08,233.215,4.876,3.03,2731.0,4.11
2021-03-09,261.903,4.91,3.09,2812.0,4.2
2021-03-10,268.489,4.842,3.16,2802.0,4.32
2021-03-11,272.303,4.861,3.27,2868.0,4.43
2021-03-12,276.27,4.712,3.35,2959.0,4.58
2021-03-13,284.491,4.739,3.39,2945.0,4.64
2021-03-14,289.732,4.807,3.44,2870.0,4.72
2021-03-15,295.202,4.797,3.52,2903.0,4.81
2021-03-16,303.613,4.787,3.59,2835.0,4.92
2021-03-17,305.658,4.718,3.68,2801.0,5.04
2021-03-18,317.728,4.789,3.79,2654.0,5.18
2021-03-19,324.411,4.805,3.88,2592.0,5.28
2021-03-20,327.094,4.864,3.93,2577.0,5.36
2021-03-21,330.942,4.87,4.0,2541.0,5.44
2021-03-22,340.167,5.02,4.11,2608.0,5.48
2021-03-23,337.71,5.098,4.2,2738.0,5.6
2021-03-24,351.207,5.175,4.32,2926.0,5.73
2021-03-25,357.676,5.325,4.43,3068.0,5.86
2021-03-26,366.163,5.7,4.58,3380.0,5.99
2021-03-27,372.597,5.738,4.64,3415.0,6.08
2021-03-28,373.596,5.743,4.72,3527.0,6.18
2021-03-29,369.636,5.619,4.81,3596.0,6.27
2021-03-30,376.924,5.624,4.92,3739.0,6.39
2021-03-31,379.802,5.739,5.04,3831.0,6.51
2021-04-01,379.368,5.649,5.18,3971.0,6.66
2021-04-02,371.274,5.315,5.28,3755.0,6.79
2021-04-03,351.265,5.343,5.36,3816.0,6.88
2021-04-04,363.142,5.457,5.44,3827.0,6.96
2021-04-05,355.187,5.308,5.48,3631.0,7.08
2021-04-06,331.595,4.998,5.6,3616.0,7.21
2021-04-07,301.279,5.107,5.73,3818.0,7.38
2021-04-08,312.151,5.415,5.86,4073.0,7.57
2021-04-09,302.403,5.596,5.99,4429.0,7.74
2021-04-10,302.038,5.61,6.08,4642.0,7.84
2021-04-11,310.256,5.745,6.18,4836.0,7.98
2021-04-12,315.772,5.957,6.27,5250.0,8.1
2021-04-13,338.354,6.323,6.39,5441.0,8.32
2021-04-14,355.091,6.261,6.51,5394.0,8.56
2021-04-15,330.91,5.963,6.66,5440.0,8.81
2021-04-16,335.59,5.839,6.79,5407.0,8.99
2021-04-17,340.651,5.801,6.88,5324.0,9.12
2021-04-18,306.475,5.564,6.96,5434.0,9.33
2021-04-19,302.294,5.552,7.08,5552.0,9.5
2021-04-20,298.779,5.449,7.21,5509.0,9.74
2021-04-21,292.12,5.388,7.38,5666.0,10.12
2021-04-22,288.654,5.299,7.57,5625.0,10.47
2021-04-23,283.362,5.28,7.74,5707.0,10.77
2021-04-24,276.841,5.257,7.84,5650.0,10.95
2021-04-25,276.68,5.21,7.98,5864.0,11.21
2021-04-26,271.539,5.125,8.1,5660.0,11.44
2021-04-27,263.653,5.043,8.32,5921.0,11.74
2021-04-28,257.549,4.907,8.56,6118.0,12.04
2021-04-29,249.062,4.848,8.81,6350.0,12.38
2021-04-30,238.248,4.677,8.99,6328.0,12.66
2021-05-01,233.841,4.572,9.12,6479.0,12.88
2021-05-02,222.848,4.46,9.33,6492.0,13.17
2021-05-03,219.885,4.329,9.5,6582.0,13.42
2021-05-04,213.514,4.071,9.74,6580.0,13.73
2021-05-05,204.473,3.966,10.12,6818.0,14.07
2021-05-06,197.065,3.859,10.47,6990.0,14.52
2021-05-07,193.685,3.787,10.77,7248.0,14.88
2021-05-08,188.553,3.748,10.95,7355.0,15.12
2021-05-09,185.038,3.734,11.21,7508.0,15.47
2021-05-10,182.936,3.68,11.44,7710.0,15.68
2021-05-11,178.673,3.735,11.74,7955.0,16.04
2021-05-12,169.666,3.531,12.04,7804.0,16.52
2021-05-13,160.436,3.399,12.38,7651.0,17.01
2021-05-14,151.007,3.241,12.66,7574.0,17.45
2021-05-15,143.118,3.085,12.88,7615.0,17.74
2021-05-16,144.079,2.992,13.17,7650.0,18.19
2021-05-17,139.719,2.854,13.42,7632.0,18.54
2021-05-18,130.872,2.724,13.73,7538.0,19.0
2021-05-19,128.327,2.66,14.07,7478.0,19.53
2021-05-20,119.587,2.523,14.52,7726.0,19.93
2021-05-21,116.07,2.42,14.88,7806.0,20.33
2021-05-22,112.546,2.352,15.12,7789.0,20.62
2021-05-23,108.336,2.315,15.47,7857.0,21.19
2021-05-24,105.835,2.17,15.68,7634.0,21.59
2021-05-25,96.145,2.101,16.04,7551.0,22.09
2021-05-26,87.438,2.042,16.52,7691.0,22.78
2021-05-27,87.873,1.954,17.01,7518.0,23.35
2021-05-28,84.363,1.877,17.45,7489.0,23.82
2021-05-29,82.056,1.802,17.74,7481.0,24.1
2021-05-30,80.176,1.752,18.19,7386.0,24.54
2021-05-31,78.388,1.78,18.54,7568.0,24.96
2021-06-01,77.795,1.621,19.0,7743.0,25.43
2021-06-02,72.417,1.465,19.53,7847.0,26.1
2021-06-03,72.105,1.408,19.93,7744.0,26.68
2021-06-04,67.81,1.387,20.33,7732.0,27.3
2021-06-05,63.935,1.37,20.62,7817.0,27.59
2021-06-06,61.263,1.366,21.19,8161.0,28.08
2021-06-07,60.345,1.323,21.59,8296.0,28.53
2021-06-08,58.121,1.369,22.09,8353.0,29.16
2021-06-09,57.895,1.388,22.78,8614.0,29.82
2021-06-10,53.11,1.396,23.35,8867.0,30.34
2021-06-11,50.049,1.356,23.82,8944.0,30.8
2021-06-12,47.746,1.31,24.1,8879.0,31.21
2021-06-13,45.669,1.261,24.54,8767.0,31.76
2021-06-14,44.26,1.21,24.96,8727.0,32.26
2021-06-15,41.573,1.107,25.43,8577.0,32.66
