date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-16,55.879,2.933,0.92,2.891,0.019,51.7,0.0,548.0,80.56,0.37
2021-01-18,51.342,2.549,0.94,2.652,0.019,51.7,0.0,491.0,80.56,0.45
2021-01-19,47.176,2.59,0.95,2.514,0.019,53.3,0.01,521.0,80.56,0.52
2021-01-20,45.024,2.618,0.97,2.452,0.018,54.5,0.02,615.0,80.56,0.6
2021-01-21,43.804,2.508,0.99,2.375,0.018,54.2,0.02,753.0,80.56,0.66
2021-01-22,43.598,2.426,1.02,2.374,0.018,54.4,0.02,938.0,80.56,0.71
2021-01-23,44.9,2.481,1.05,2.383,0.019,53.1,0.03,1092.0,80.56,0.77
2021-01-25,47.792,2.508,1.1,2.415,0.02,50.5,0.08,1289.0,80.56,0.81
2021-01-26,51.589,2.385,1.12,2.478,0.021,48.0,0.13,1416.0,80.56,0.89
2021-01-27,56.331,2.453,1.14,2.578,0.022,45.8,0.17,1456.0,80.56,1.02
2021-01-28,59.168,2.357,1.16,2.641,0.022,44.6,0.23,1485.0,80.56,1.17
2021-01-29,63.554,2.275,1.18,2.818,0.023,44.3,0.31,1501.0,80.56,1.34
2021-01-30,66.158,2.152,1.19,2.831,0.023,42.8,0.37,1524.0,80.56,1.49
2021-02-01,69.667,2.166,1.21,2.875,0.024,41.3,0.45,1561.0,81.48,1.62
2021-02-02,75.245,2.179,1.22,2.894,0.026,38.5,0.52,1616.0,81.48,1.71
2021-02-03,79.261,2.111,1.23,2.907,0.027,36.7,0.6,1673.0,81.48,1.83
2021-02-04,84.14,2.207,1.23,3.049,0.028,36.2,0.66,1719.0,81.48,1.96
2021-02-05,88.115,2.166,1.23,3.056,0.029,34.7,0.71,1737.0,81.48,2.07
2021-02-06,92.378,2.357,1.22,3.25,0.028,35.2,0.77,1735.0,81.48,2.18
2021-02-08,97.038,2.303,1.21,3.465,0.028,35.7,0.81,1696.0,81.48,2.34
2021-02-09,100.752,2.275,1.2,3.676,0.027,36.5,0.89,1675.0,81.48,2.47
2021-02-10,105.302,2.138,1.2,3.85,0.027,36.6,1.02,1664.0,81.48,2.61
2021-02-11,108.784,2.097,1.18,3.939,0.028,36.2,1.17,1682.0,81.48,2.75
2021-02-12,111.525,2.124,1.17,3.963,0.028,35.5,1.34,1726.0,81.48,2.89
2021-02-13,113.115,2.083,1.16,3.96,0.029,35.0,1.49,1761.0,81.48,3.01
2021-02-15,113.06,2.124,1.13,3.862,0.029,34.2,1.62,1880.0,81.48,3.14
2021-02-16,107.427,2.248,1.13,3.69,0.029,34.3,1.71,1890.0,78.7,3.26
2021-02-17,97.449,2.193,1.13,3.338,0.029,34.3,1.83,1975.0,78.7,3.34
2021-02-18,98.504,2.261,1.15,3.148,0.031,32.0,1.96,2078.0,78.7,3.41
2021-02-19,99.368,2.357,1.17,3.12,0.032,31.4,2.07,2170.0,78.7,3.47
2021-02-20,102.136,2.316,1.19,3.086,0.033,30.2,2.18,2290.0,80.56,3.51
2021-02-22,107.564,2.316,1.21,3.165,0.034,29.4,2.34,2408.0,80.56,3.57
2021-02-23,121.681,2.22,1.22,3.988,0.031,32.8,2.47,2561.0,80.56,3.63
2021-02-24,137.429,2.426,1.22,3.693,0.037,26.9,2.61,2613.0,80.56,3.68
2021-02-25,142.678,2.59,1.22,3.875,0.037,27.2,2.75,2636.0,80.56,3.75
2021-02-26,146.749,2.604,1.22,3.939,0.037,26.8,2.89,2645.0,80.56,3.83
2021-02-27,149.572,2.686,1.22,3.977,0.038,26.6,3.01,2637.0,80.56,3.9
2021-03-01,158.961,2.919,1.22,4.052,0.039,25.5,3.14,2615.0,88.89,3.91
2021-03-02,161.716,2.933,1.22,3.514,0.046,21.7,3.26,2666.0,88.89,4.04
2021-03-03,172.598,3.098,1.22,4.204,0.041,24.4,3.34,2701.0,88.89,4.13
2021-03-04,178.546,3.043,1.21,4.279,0.042,24.0,3.41,2718.0,88.89,4.23
2021-03-05,184.7,3.084,1.2,4.357,0.042,23.6,3.47,2769.0,88.89,4.32
2021-03-06,193.897,3.248,1.19,4.454,0.044,23.0,3.51,2822.0,88.89,4.41
2021-03-08,192.033,3.605,1.17,4.444,0.043,23.1,3.57,2808.0,88.89,4.52
2021-03-09,203.943,3.92,1.17,4.427,0.046,21.7,3.63,2758.0,88.89,4.65
2021-03-10,203.011,3.961,1.16,4.389,0.046,21.6,3.68,2732.0,88.89,4.81
2021-03-11,207.85,4.18,1.15,4.312,0.048,20.7,3.75,2709.0,88.89,4.81
2021-03-12,210.262,4.413,1.14,4.195,0.05,20.0,3.83,2670.0,88.89,5.05
2021-03-13,213.03,4.564,1.13,4.157,0.051,19.5,3.9,2628.0,88.89,5.26
2021-03-15,219.294,4.66,1.11,3.979,0.055,18.1,3.91,2184.0,88.89,5.46
2021-03-16,196.364,4.838,1.11,3.327,0.059,16.9,4.04,2168.0,88.89,5.64
2021-03-17,207.726,5.016,1.12,3.49,0.06,16.8,4.13,2125.0,87.96,5.83
2021-03-18,214.579,4.934,1.12,3.538,0.061,16.5,4.23,2103.0,87.96,5.99
2021-03-19,220.13,5.14,1.12,3.611,0.061,16.4,4.32,2097.0,87.96,6.16
2021-03-20,220.528,5.249,1.11,3.621,0.061,16.4,4.41,2097.0,87.96,6.32
2021-03-22,226.819,5.4,1.11,3.643,0.062,16.1,4.52,2516.0,87.96,6.37
2021-03-23,254.354,5.29,1.1,4.355,0.058,17.1,4.65,2562.0,87.96,6.49
2021-03-24,248.871,5.441,1.09,4.248,0.059,17.1,4.81,2621.0,87.96,6.63
2021-03-25,242.251,5.537,1.09,4.238,0.057,17.5,4.81,2210.0,87.96,6.76
2021-03-26,224.489,5.386,1.09,3.672,0.061,16.4,5.05,2271.0,87.96,6.91
2021-03-27,232.712,5.551,1.1,3.769,0.062,16.2,5.26,2299.0,87.96,7.04
2021-03-29,231.972,5.674,1.11,3.834,0.061,16.5,5.46,2284.0,87.96,7.15
2021-03-30,243.005,5.962,1.11,3.855,0.063,15.9,5.64,2268.0,87.96,7.25
2021-03-31,250.598,6.085,1.11,3.857,0.065,15.4,5.83,2232.0,87.96,7.34
2021-04-01,262.879,6.291,1.1,3.865,0.068,14.7,5.99,2768.0,87.96,7.36
2021-04-02,284.699,6.551,1.1,4.486,0.063,15.8,6.16,2807.0,87.96,7.38
2021-04-03,286.028,6.524,1.09,4.541,0.063,15.9,6.32,3099.0,87.96,7.39
2021-04-05,294.978,6.963,1.07,4.578,0.064,15.5,6.37,3436.0,87.96,7.41
2021-04-06,294.58,7.059,1.06,4.704,0.063,16.0,6.49,3802.0,87.96,7.43
2021-04-07,292.292,7.045,1.04,4.694,0.062,16.1,6.63,4164.0,87.96,7.45
2021-04-08,288.618,7.127,1.03,4.762,0.061,16.5,6.76,4382.0,87.96,7.52
2021-04-09,284.178,7.209,1.02,4.769,0.06,16.8,6.91,4615.0,87.96,7.62
2021-04-10,278.284,7.278,1.02,4.82,0.058,17.3,7.04,4646.0,87.96,7.84
2021-04-12,271.5,6.963,1.01,4.956,0.055,18.3,7.15,4653.0,87.96,8.17
2021-04-13,267.717,7.154,1.0,4.968,0.054,18.6,7.25,4586.0,87.96,8.45
2021-04-14,262.728,7.237,1.0,5.085,0.052,19.4,7.34,4535.0,87.96,8.73
2021-04-15,271.047,7.662,1.0,6.069,0.045,22.4,7.36,4501.0,87.96,9.05
2021-04-16,275.063,7.84,0.99,4.661,0.059,16.9,7.38,4468.0,87.96,9.06
2021-04-17,269.745,7.73,0.98,5.259,0.051,19.5,7.39,4420.0,87.96,9.06
2021-04-19,271.28,7.936,0.96,5.211,0.052,19.2,7.41,4390.0,87.96,9.07
2021-04-20,267.621,7.853,0.96,5.243,0.051,19.6,7.43,4387.0,87.96,9.47
2021-04-21,266.648,7.922,0.95,5.21,0.051,19.5,7.45,4357.0,87.96,10.0
2021-04-22,252.037,7.525,0.94,4.29,0.059,17.0,7.52,4408.0,71.3,10.55
2021-04-23,248.09,7.319,0.94,5.821,0.043,23.5,7.62,4457.0,71.3,11.11
2021-04-24,250.626,7.579,0.93,5.226,0.048,20.9,7.84,4520.0,71.3,11.67
2021-04-26,240.634,7.497,0.92,5.219,0.046,21.7,8.17,4619.0,71.3,12.26
2021-04-27,234.288,7.566,0.91,5.198,0.045,22.2,8.45,4716.0,71.3,12.82
2021-04-28,230.999,7.25,0.91,5.197,0.044,22.5,8.73,4894.0,71.3,13.36
2021-04-29,226.325,7.223,0.9,5.307,0.043,23.5,9.05,5029.0,71.3,13.92
2021-04-30,217.91,7.086,0.9,4.987,0.044,22.9,9.06,4555.0,71.3,14.49
2021-05-01,201.367,6.894,0.9,4.669,0.043,23.2,9.06,4026.0,71.3,15.05
2021-05-03,193.691,6.853,0.92,4.372,0.044,22.6,9.07,3476.0,71.3,15.59
2021-05-04,167.39,6.702,0.93,3.614,0.046,21.6,9.47,3511.0,71.3,16.05
2021-05-05,158.084,7.154,0.95,3.239,0.049,20.5,10.0,4116.0,71.3,16.4
2021-05-06,171.831,7.292,0.98,3.361,0.051,19.6,10.55,4780.0,71.3,16.73
2021-05-07,179.314,7.25,0.98,3.62,0.05,20.2,11.11,5996.0,71.3,16.97
2021-05-08,194.007,7.196,0.99,3.839,0.051,19.8,11.67,7295.0,71.3,17.19
2021-05-10,210.193,6.88,0.98,4.211,0.05,20.0,12.26,8550.0,71.3,17.4
2021-05-11,234.919,6.483,0.97,5.089,0.046,21.7,12.82,9144.0,71.3,17.62
2021-05-12,240.223,6.127,0.96,5.488,0.044,22.8,13.36,9095.0,71.3,18.04
2021-05-13,222.954,5.743,0.95,5.246,0.043,23.5,13.92,8974.0,71.3,18.46
2021-05-14,216.073,5.647,0.94,5.256,0.041,24.3,14.49,8912.0,71.3,18.88
2021-05-15,209.069,5.304,0.94,5.305,0.039,25.4,15.05,8839.0,71.3,19.29
2021-05-17,199.845,5.236,0.92,5.247,0.038,26.3,15.59,8840.0,71.3,19.75
2021-05-18,194.486,5.386,0.92,5.041,0.039,25.9,16.05,8849.0,56.48,20.2
2021-05-19,191.937,5.153,0.91,4.905,0.039,25.6,16.4,8805.0,56.48,20.68
2021-05-20,188.209,5.14,0.9,4.825,0.039,25.6,16.73,8739.0,56.48,21.15
2021-05-21,185.646,5.14,0.89,4.69,0.04,25.3,16.97,8630.0,56.48,21.62
2021-05-22,179.52,5.057,0.88,4.589,0.039,25.6,17.19,8509.0,56.48,22.12
2021-05-24,174.01,4.811,0.87,4.513,0.039,25.9,17.4,8320.0,56.48,22.73
2021-05-25,168.815,4.633,0.87,4.508,0.037,26.7,17.62,8139.0,62.04,23.37
2021-05-26,158.111,4.509,0.86,4.464,0.035,28.2,18.04,8101.0,62.04,24.05
2021-05-27,157.974,4.304,0.85,4.367,0.036,27.6,18.46,8067.0,62.04,24.77
2021-05-28,157.234,4.084,0.84,4.316,0.036,27.5,18.88,8047.0,62.04,25.52
2021-05-29,157.152,3.975,0.83,4.252,0.037,27.1,19.29,8014.0,62.04,26.32
2021-05-31,152.478,3.742,0.81,4.273,0.036,28.0,19.75,8017.0,62.04,27.16
2021-06-01,145.008,3.426,0.79,4.157,0.035,28.7,20.2,8004.0,62.04,27.93
2021-06-02,143.199,3.139,0.78,4.091,0.035,28.6,20.68,8011.0,62.04,28.6
2021-06-03,134.057,3.139,0.76,4.047,0.033,30.2,21.15,7989.0,62.04,29.22
2021-06-04,122.791,3.056,0.75,4.031,0.03,32.8,21.62,8009.0,62.04,29.83
2021-06-05,115.047,3.139,0.74,4.022,0.029,35.0,22.12,8044.0,62.04,30.43
2021-06-06,110.565,3.056,0.73,4.032,0.027,36.5,22.16,8341.0,62.04,30.47
2021-06-07,107.728,2.823,0.72,4.001,0.027,37.1,22.73,9064.0,62.04,30.47
2021-06-08,101.026,2.865,0.71,3.922,0.026,38.8,23.37,9177.0,45.37,31.17
2021-06-09,94.269,2.755,0.69,3.877,0.024,41.1,24.05,9213.0,45.37,31.87
2021-06-10,87.978,2.549,0.68,3.818,0.023,43.4,24.77,9262.0,45.37,32.52
2021-06-11,83.565,2.234,0.67,3.758,0.022,45.0,25.52,9308.0,45.37,33.21
2021-06-12,80.138,2.042,0.66,3.671,0.022,45.8,26.32,9389.0,45.37,33.91
2021-06-13,76.273,1.946,0.65,3.671,0.021,48.1,26.38,9312.0,45.37,34.45
2021-06-14,71.75,1.864,0.64,3.653,0.02,50.9,27.16,9320.0,45.37,35.17
2021-06-15,63.883,1.754,0.63,3.58,0.018,56.0,27.93,9320.0,45.37,35.79
